Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Länssjukhuset Ryhov||Mbjl|sjukbib||551 85|Jönköping|Länssjukhuset Ryhov, plan 5, hiss D|57.7826137|14.1617876|F|0680|036322490|medicinska.fackbiblioteket.jonkoping@rjl.se|http://www.rjl.se/bibliotek|Länssjukhuset Ryhov, plan 5, hiss D, 551 85, Jönköping, Sweden
Karolinska Universitetssjukhuset Solna||Mkkb|sjukbib||171 76|Stockholm|A4:04|59.3293235|18.0685808|AB|0180|0851774132|biblioteket@karolinska.se|http://www.karolinska.se/biblioteket|A4:04, 171 76, Stockholm, Sweden
Förvaltningsbiblioteket||Mllf|specbib|Box 1|221 00|Lund|Baravägen 1|55.7180957|13.1907387|LM|1281|046153351|forvaltningsbiblioteket@skane.se|http://www.skane.se/bibliotek|Baravägen 1, 221 00, Lund, Sweden
Motala lasarett||Mola|sjukbib|Lasarettsgatan 37 |591 35|Motala|Lasarettet, A-huset, plan11|58.544569|15.02858|E|0583|010-1047506|maria.borjesson@regionostergotland.se|http://lisa.lio.se/Startsida/Verksamheter/LiM/Sjukhusbiblioteket-LiM/|Lasarettet, A-huset, plan11, 591 35, Motala, Sweden
Mora lasarettsbibliotek||Molb|sjukbib||792 85|Mora||61.004878|14.537003|W|2062|0250493070|mora.biblioteket@ltdalarna.se|http://|Mora lasarettsbibliotek, 792 85, Mora, Sweden
Malmö stadsbibliotek||Mo1|folkbib|Malmö stadsbibliotek|205 81|Malmö|Kung Oscars väg 11|55.6005298|12.994144|LM|1280|0406608500|fjarr.stadsbiblioteket@malmo.se|http://www.malmo.se/bibliotek|Kung Oscars väg 11, 205 81, Malmö, Sweden
Sahlgrenska us/Mölndal||Mos|sjukbib|SU/Mölndal|431 80|Mölndal|Göteborgsvägen 31|57.6612483|12.0124363|O|1481|0313431021|medbibl.molndal@vgregion.se|http://www.sahlgrenska.se/bibliotek|Göteborgsvägen 31, 431 80, Mölndal, Sweden
Vrinnevisjukhuset||Nos|sjukbib||601 82|Norrköping|Gamla Övägen 25|58.5632628|16.1787572|E|0581|0101043082|fackbiblioteket_vin@regionostergotland.se||Gamla Övägen 25, 601 82, Norrköping, Sweden
Nyköpings lasarett||Nyko|sjukbib|Nyköpings lasarett|611 85|Nyköping||58.7528439|17.0091593|D|0480|0155245423|bibl.nln@dll.se|http://www.landstingetsormland.se/sjukhusbiblioteken|Nyköpings lasarett, 611 85, Nyköping, Sweden
Oskarshamns sjukhus||Ohan|sjukbib|Box 701|572 28|Oskarshamn||57.2656993|16.4473984||0882|0491782177|biblioteket.oskarshamn@ltkalmar.se|http://|Oskarshamns sjukhus, 572 28, Oskarshamn, Sweden
Piteå Älvdals Sjukhus||Plmb|sjukbib|Box 715|941 28|Piteå||65.316698|21.4800364|BD|2582|091175240|sjukhusbiblioteket.pitea@nll.se|http://insidan.nll.se/|Piteå Älvdals Sjukhus, 941 28, Piteå, Sweden
Radiumhemmet||Rhb|sjukbib|Karolinska Universitetssjukhuset\nRadiumhemmet, Biblioteket|171 76|Stockholm||59.3293235|18.0685808|AB|0180|0851774324|torbjorn.karlberg@karolinska.se|http://|Karolinska Universitetssjukhuset\nRadiumhemmet, Biblioteket, 171 76, Stockholm, Sweden
Röda Korsets Högskola, biblioteket||Rk|univbib|Box 55676|102 15|Stockholm|Teknikringen 1|59.349435|18.071441|AB|0180||biblioteket@rkh.se|http://www.rkh.se/bibliotek/om-biblioteket/|Teknikringen 1, 102 15, Stockholm, Sweden
Sahlgrenska us/Östra sjukhuset||Sfg1|sjukbib|Centralkliniken, Huvudentrén|416 85|Göteborg||57.7214243|12.0541353|O|1480|0313434891|medbibl.ostra@vgregion.se|http://www.sahlgrenska.se/bibliotek|Centralkliniken, Huvudentrén, 416 85, Göteborg, Sweden
Sahlgrenska universitetssjukhuset||Sfg2|sjukbib||413 45|Göteborg|Vita stråket 12, vån. 1 uppg. L|57.6814549|11.9627188|O|1480|0313429559|medbibl.sahlgrenska@vgregion.se|http://www.sahlgrenska.se/bibliotek|Vita stråket 12, vån. 1 uppg. L, 413 45, Göteborg, Sweden
Simrishamns sjukhusbibliotek||Sisj|sjukbib||272 81|Simrishamn||55.5573959|14.3489651|LM|1291|041415239|||Simrishamns sjukhusbibliotek, 272 81, Simrishamn, Sweden
Stifts- och landsbiblioteket i Skara||Sk|folkbib|Skara kommun|532 88|Skara|Prubbatorget 1|58.387072|13.440032|O|1495|051132000vx|sol.bibl@skara.se|http://www.skara.se/|Prubbatorget 1, 532 88, Skara, Sweden
Skellefteå lasarett||Sks|sjukbib||931 86|Skellefteå||64.750244|20.950917|AC|2482|0910771777|sjukhusbibliotek.skelleftea@vll.se|http://regionvasterbotten.se/kultur/sjukhusbiblioteken/skelleftea/|Skellefteå lasarett, 931 86, Skellefteå, Sweden
Stockholm stadsbibliotek||Skun|folkbib|St Eriksgatan 33|112 39|Stockholm|St Eriksgatan 33|59.3328588|18.0313088|AB|0180|086525476||http://|St Eriksgatan 33, 112 39, Stockholm, Sweden
Skaraborgs sjukhus||Skom|sjukbib||541 85|Skövde||58.3902782|13.8461208|O|1496|0500432720|bibliotek.skas@vgregion.se|http://www.vgregion.se/sv/Skaraborgs-sjukhus/Skaraborgs-sjukhus/Hemsidor-SkaS/Sjukhusbibliotek/|Skaraborgs sjukhus, 541 85, Skövde, Sweden
Stockholms läns landsting||Sllb|specbib|Box 22550|104 22|Stockholm|Hantverkargatan 45|59.3286996|18.040044|AB|0180|087374231/38|biblioteket@sll.se|http://|Hantverkargatan 45, 104 22, Stockholm, Sweden
Västra Götalandsregionen||Sllk|sjukbib|Litteraturtjänst\nRegionens Hus|542 87|Mariestad|Drottningatan 1|58.7052188|13.8300077|O|1493|050162079|per.falk@vgregion.se|http://|Drottningatan 1, 542 87, Mariestad, Sweden
Stiftelsen Stockholms läns äldrecentrum||Sla|sjukbib|Box 6401|113 82|Stockholm|Olivecronas väg 4|59.3393355|18.0474941|AB|0180|086905808|carl-erik.olsson@neurotec.ki.se|http://www.aldrecentrum.se|Olivecronas väg 4, 113 82, Stockholm, Sweden
Socialmedicin||Sme|sjukbib|Norrbacka|171 76|Stockholm|Karolinska sjukhuset, Norrbackabyggnaden, plan 2|59.3293235|18.0685808|AB|0180|0851777959|socmedlib@smd.sll.se|http://www.sll.se/socmed|Karolinska sjukhuset, Norrbackabyggnaden, plan 2, 171 76, Stockholm, Sweden
Sophiahemmet Högskola||Soph|univbib|Box 5605|114 86|Stockholm|Valhallavägen 91, Ingång R|59.346465|18.072476|AB|0180|084062885|biblioteket@sophiahemmethogskola.se|http://www.sophiahemmethogskola.se/|Valhallavägen 91, Ingång R, 114 86, Stockholm, Sweden
Infocenter Arjeplog AB||Sprl|sjukbib|Dr. Wallquists väg 3|930 90|Arjeplog||66.05002469999999|17.89084|BD|2510|096111550||http://|Dr. Wallquists väg 3, 930 90, Arjeplog, Sweden
Säters sjukhusbibliotek||Ssjb|sjukbib|Box 350|783 27|Säter||60.34665|15.7479|W|2082|0225494594|||Säters sjukhusbibliotek, 783 27, Säter, Sweden
Sollefteå sjukhus||Sso|sjukbib||881 04|Sollefteå||63.174679|17.2374272|Y|2283|062019190|bibliotek.solleftea@lvn.se|http://www.lvn.se/Om-landstinget/Landstingets-organisation/Landstingets-kansli/Forskning-och-Utveckling/Medicinska-biblioteket/|Sollefteå sjukhus, 881 04, Sollefteå, Sweden
Bohus landstinget||Stj|sjukbib|Box 1508|401 50|Göteborg||57.70887|11.97456|O|1480|031630500|||Bohus landstinget, 401 50, Göteborg, Sweden
Stora Sköndals sjukhem||Stsk|sjukbib|Johannesgården\nEfraim Dalins väg 5|128 85|Sköndal||59.2531704|18.1282728|AB||086050865|merja.hoijer@sssd.se|http://|Johannesgården\nEfraim Dalins väg 5, 128 85, Sköndal, Sweden
Länssjukhuset Sundsvall-Härnösand||Suns|sjukbib|Sundsvalls sjukhus|851 86|Sundsvall||62.390811|17.306927|Y|2281|060182049|bibliotek.sundsvall@lvn.se|http://|Sundsvalls sjukhus, 851 86, Sundsvall, Sweden
Sahlgrenska sjukhusbiblioteket||Sus|sjukbib|Vån 15|413 45|Göteborg||57.6811856|11.9600489|O|1480|0313421199||http://|Vån 15, 413 45, Göteborg, Sweden
Södersjukhuset|Södersjukhusets bibliotek|Sos|sjukbib|Södersjukhuset|118 83|Stockholm|Sjukhusbacken 10|59.3100301|18.0556594|AB|0180|086161642|biblioteket@sodersjukhuset.se|http://www.sodersjukhuset.se/biblioteket|Sjukhusbacken 10, 118 83, Stockholm, Sweden
Södertälje sjukhus||Sosj|sjukbib|Rosenborgsg 6-10|152 86|Södertälje||59.1990826|17.6312549|AB|0181|0855024000|||Rosenborgsg 6-10, 152 86, Södertälje, Sweden
Länsbiblioteket i Västerbotten||Um2|folkbib||901 78|Umeå|Rådhusesplanaden 8, vån 3|63.8272851|20.2649188|AC|2480|090163733/31|lansbiblioteket@regionvasterbotten.se|http://www.regionvasterbotten.se/lansbiblioteket|Rådhusesplanaden 8, vån 3, 901 78, Umeå, Sweden
Bibliotek Uppsala||Usb|folkbib|Box 643|751 27|Uppsala|Svartbäcksgatan 17|59.860581|17.635331|C|0380|0187271700|rikard.jennische@uppsala.se|https://bibliotekuppsala.se/|Svartbäcksgatan 17, 751 27, Uppsala, Sweden
Hallands sjukhus Varberg||Vas|sjukbib|Träslövsvägen 68|432 81|Varberg||57.0985391|12.2778457|N|1383|0340-481460|biblioteket.hsv@regionhalland.se|http://www.regionhalland.se/bibliotek|Träslövsvägen 68, 432 81, Varberg, Sweden
Visby lasarett||Vism|sjukbib|Visby Lasarett|621 84|Visby|S:t Göransgatan 5|57.6480469|18.30067|I||0498 268051|fackbibliotek@gotland.se|http://www.gotland.se/9768|S:t Göransgatan 5, 621 84, Visby, Sweden
Västerviks sjukhus|Landstingsbiblioteket Västervik|Vsh|sjukbib|Västerviks sjukhus|593 81|Västervik|Östra Kyrkogatan 48|57.7553333|16.636391|H|0883|049086132|biblioteket.vastervik@ltkalmar.se|http://www.ltkalmar.se/lttemplates/SubjectPage____541.aspx|Östra Kyrkogatan 48, 593 81, Västervik, Sweden
Västmanlands sjukhus Västerås||Vasj|sjukbib||721 89|Västerås||59.6099005|16.5448091|U|1980|021173440|sjukhusbiblioteket@ltv.se|http://www.ltv.se/biblioteketvasteras|Västmanlands sjukhus Västerås, 721 89, Västerås, Sweden
NU-biblioteket||Nub|sjukbib|NÄL, Lärketorpsvägen|461 85|Trollhättan|NÄL, Lärketorpsgatan|58.3249857|12.2686272|O|1488|010-4356940|biblioteket.nu@vgregion.se|http://www.nusjukvarden.se/nubiblioteket|NÄL, Lärketorpsgatan, 461 85, Trollhättan, Sweden
Regional biblioteksverksamhet||Vasl|folkbib|Karlsgatan 2|722 14|Västerås||59.6099005|16.5448091|U|1980|021-176126|christer.b.soderqvist@ltv.se|http://www.ltv.se/|Karlsgatan 2, 722 14, Västerås, Sweden
Region Kronoberg ||Vaxm|sjukbib|Centrallasarettet|351 85|Växjö||56.8790044|14.8058522|G|0780|0470587642|halsobiblioteket@kronoberg.se|http://www5.ltkronoberg.se/Om-landstinget/Arbomr/Bibliotek/|Centrallasarettet, 351 85, Växjö, Sweden
Birger Sjöberggymnasiet||Anv|gymbib|Box 217|462 23|Vänersborg|Idrottsgatan 3, 462 36 Vänersborg|58.3668866|12.3315141|O|1487|0521-721839|bsg-bibliotek@kunskapsforbundet.se|http://www.kunskapsforbundet.se/Birger/bibliotek/index.aspx|Idrottsgatan 3, 462 36 Vänersborg, 462 23, Vänersborg, Sweden
Ängelholms sjukhus||As|sjukbib||262 81|Ängelholm||56.245748|12.863881|LM|1292|043181588||http://www.skane.se/templates/Page.aspx?id=261388|Ängelholms sjukhus, 262 81, Ängelholm, Sweden
S:t Eriks Ögonsjukhus||Ogon|sjukbib|Polhemsgatan 50|112  82|Stockholm|Polhemsgatan 50|59.3339591|18.0395717|AB|0180|086723028|biblioteket@eyelab.se|http://www.sankterik.se|Polhemsgatan 50, 112  82, Stockholm, Sweden
Örebro stadsbibliotek||Or1|folkbib|Box 32510 Fabriksg. 19B|701 35|Örebro|Näbbtorgsgatan 12|59.2687441|15.2078372|T|1880|019216110|fjarrlan.stadsbiblioteket@orebro.se|http://www.orebro.se/7375.html|Näbbtorgsgatan 12, 701 35, Örebro, Sweden
Örnsköldsviks sjukhus||Orns|sjukbib||891 89|Örnsköldsvik||63.2900474|18.7166166|Y|2284|066089305|bibliotek.ornskoldsvik@lvn.se||Örnsköldsviks sjukhus, 891 89, Örnsköldsvik, Sweden
Örebro universitetsbibliotek||Ors|univbib|Campus USÖ|701 82|Örebro|Södra Grev Rosengatan 30|59.2768075|15.2249911|T|1880|019301392|medbibl@oru.se|https://www.oru.se/ub/vara-bibliotek/medicinska-biblioteket/|Södra Grev Rosengatan 30, 701 82, Örebro, Sweden
Östersunds bibliotek|Östersunds bibliotek|Os|folkbib||831 80|Östersund|Rådhusgatan 25-27|63.1763968|14.6414185|Z|2380|063143050|fjarr@ostersund.se|http://www.bibliotekmitt.se/110723/sv/libraries/ostersunds-bibliotek|Rådhusgatan 25-27, 831 80, Östersund, Sweden
Medicinska biblioteket, Östersunds sjukhus||Osts|sjukbib|Östersunds sjukhus|831 83|Östersund||63.1766832|14.6360681|Z|2380|063153192|medicinskabiblioteket@regionjh.se|http://www.regionjh.se/2.b6b761214bb7c332f387a.html|Östersunds sjukhus, 831 83, Östersund, Sweden
Alingsås bibliotek||Afb|folkbib|Alingsås bibliotek|441 81|Alingsås|Kungsgatan 4,  441 81 Alingsås|57.92829|12.533157|O|1489|0322606601|fjarrlan@alingsas.se|http://www.alingsaskulturhus.se/bibliotek|Kungsgatan 4,  441 81 Alingsås, 441 81, Alingsås, Sweden
Agnebergsgymnasiet||Agne|gymbib|Östergatan 12|451 81|Uddevalla|Östergatan 12|58.3483736|11.9433488|O|1485|0522696879|agneta.wikstrom@uddevalla.se|http://gymnasiet.uddevalla.se/blivandeelev/bibliotek.4.2093ed6e11abe7f6073800023603.html|Östergatan 12, 451 81, Uddevalla, Sweden
Anders Ljungstedts Gymnasium||Algy|gymbib||581 81|Linköping||58.4145835|15.641111|E|0580|013207584|lena.hartman@linkoping.se|http://www.linkoping.se/alg|Anders Ljungstedts Gymnasium, 581 81, Linköping, Sweden
Alunda bibliotek||Alun|folkbib|Olandsskolan, Marmavägen 12|747 30|Alunda|Marmavägen 12|60.0671662|18.0854053|C|0382|0173-85870|biblioteket.alunda@osthammar.se|http://www.osthammar.se/kultur/bibliotek/program.asp|Marmavägen 12, 747 30, Alunda, Sweden
Alvesta bibliotek||Alve|folkbib|Allbogatan 17|342 80|Alvesta|Allbogatan 17 (Folkets hus)|56.9014149|14.5538831|G|0764|047215232|biblioteket@alvesta.se|http://www.alvesta.se/?PageID=1905|Allbogatan 17 (Folkets hus), 342 80, Alvesta, Sweden
Anderstorps bibliotek||Ande|folkbib|Storgatan 30|334 33|Anderstorp||57.2834529|13.6361775|F|0662|037182643|anderstorp.bibliotek@gislaved.se|http://|Storgatan 30, 334 33, Anderstorp, Sweden
Aneby bibliotek||Aneb|folkbib|Box 53|578 22|Aneby|Köpmansgatan 2|57.838766|14.814205|F|0604|038046245|biblioteket@aneby.se|http://www.aneby.se/aneby/tjaenster_service/kultur_och_bibliotek/bibliotek|Köpmansgatan 2, 578 22, Aneby, Sweden
Arboga bibliotek||Arbo|folkbib|Kapellgatan 19 B|732 45|Arboga||59.3917493|15.8402824|U|1984|058987300|biblioteket@arboga.se|http://www.arboga.se/bibliotek|Kapellgatan 19 B, 732 45, Arboga, Sweden
Arjeplogs kommunbibliotek||Arje|folkbib|Strömvägen 21|93832|Arjeplog|Strömvägen 21|66.04689500000001|17.878665|BD|2506|096114198|biblioteket@arjeplog.se|http://www.arjeplog.se/kommun/kfu/kultur/|Strömvägen 21, 93832, Arjeplog, Sweden
